sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
92;SDS011;16232;48.800;9.002;2023-01-01T12:49:34;4.77;;;2.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:52:08;4.70;;;2.13;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:54:44;4.33;;;2.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:57:16;5.37;;;2.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:59:50;3.40;;;1.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T13:02:20;4.43;;;1.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T13:04:48;5.97;;;1.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T13:07:16;5.90;;;2.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T13:09:46;5.33;;;1.60;;
92;SDS011;16232;48.800;9.002;2023-01-01T13:12:14;8.40;;;2.40;;
92;SDS011;16232;48.800;9.002;2023-01-01T13:14:43;4.37;;;2.43;;
92;SDS011;16232;48.800;9.002;2023-01-01T13:17:20;5.70;;;2.60;;
